# owner<TAB>step-slug<TAB>description
haunt	application-protocol	A00: Create the shared application screening harness. Repo=/home/mesh-home/tiny-fleet (never hyperhauntology_for_kids). Read /home/mesh-home/tiny-fleet/docs/superpowers/plans/2026-09-08-publication-science.md section A00 AND Global execution and verification rules. Dependencies: C02-C08 and S01-S05 verified for neural evaluation; documentation and baseline design may start now Files: docs/applications.md (new); scripts/application_screen.py (new); scripts/test_application_screen.py (new); runs/applications/registry.json (new). Next: Populate the ten hypotheses in docs/applications.md with primary-source precedents and explicit non-LLM competitors. Rank extraction, command interpretation and support routing first by objective scoring feasibility; remaining candidates stay in the ledger. Check: rtk proxy .venv/bin/python scripts/test_application_screen.py. Closure: Ten registered hypotheses, exact baseline/gate/data/cost contracts and hand-tested rare-error sample arithmetic; all exploration remains offline and reproducible. Artifact=/home/mesh-home/tiny-fleet/docs/task-receipts/A00-implementation.md; commit/push scoped work and verify remote; implementation done only submits to independent vpn gate.
vpn	verify-application-protocol	A00-V: Independently verify A00, not author self-report. Operator explicitly assigns this repository verification to vpn. Repo=/home/mesh-home/tiny-fleet. Read /home/mesh-home/tiny-fleet/docs/superpowers/plans/2026-09-08-publication-science.md section A00 and A00-V plus strict global verification rules. Input=/home/mesh-home/tiny-fleet/docs/task-receipts/A00-implementation.md and its exact source commit. In isolated checkout run rtk proxy .venv/bin/python scripts/test_application_screen.py; any output goes into a new temporary verification directory, never completed author run. Inspect artifacts/hashes/dependencies; applicable mutation or raw-data recomputation plus independent negative case. Acceptance: Ten registered hypotheses, exact baseline/gate/data/cost contracts and hand-tested rare-error sample arithmetic; all exploration remains offline and reproducible. Write /home/mesh-home/tiny-fleet/docs/task-receipts/A00-verification.md with commands/exit codes/output hashes/PASS-FAIL-BLOCKED; commit/push and verify remote. On failed predicate block this step and request keyed haunt correction; never settle to skip failure. PASS unlocks successor.
haunt	command-intents	A01: Offline read-only command interpretation. Repo=/home/mesh-home/tiny-fleet (never hyperhauntology_for_kids). Read /home/mesh-home/tiny-fleet/docs/superpowers/plans/2026-09-08-publication-science.md section A01 AND Global execution and verification rules. Dependencies: A00 verified; C02-C08 and S01-S05 verified before any model scores; reuse common study runner/schema Files: scripts/applications/command_intents.py (new); scripts/test_app_command_intents.py (new); corpus/applications/command-intents/; runs/applications/command-intents/; docs/applications/command-intents.md (new). Next: Read primary precedent [FunctionGemma 270M](https://ai.google.dev/gemma/docs/mobile-actions), pin available model/tokenizer revisions and record license/provenance. Its existence supports feasibility; Tiny Fleet benefit remains a hypothesis. Check: rtk proxy .venv/bin/python scripts/test_app_command_intents.py. Closure: Tests, source manifests, baseline raw outputs and justified pilot/no-go artifact exist; numerical gate above is evaluated with uncertainty. vpn repeats scoring and checks unseen negative cases. Artifact=/home/mesh-home/tiny-fleet/docs/task-receipts/A01-implementation.md; commit/push scoped work and verify remote; implementation done only submits to independent vpn gate.
vpn	verify-command-intents	A01-V: Independently verify A01, not author self-report. Operator explicitly assigns this repository verification to vpn. Repo=/home/mesh-home/tiny-fleet. Read /home/mesh-home/tiny-fleet/docs/superpowers/plans/2026-09-08-publication-science.md section A01 and A01-V plus strict global verification rules. Input=/home/mesh-home/tiny-fleet/docs/task-receipts/A01-implementation.md and its exact source commit. In isolated checkout run rtk proxy .venv/bin/python scripts/test_app_command_intents.py; any output goes into a new temporary verification directory, never completed author run. Inspect artifacts/hashes/dependencies; applicable mutation or raw-data recomputation plus independent negative case. Acceptance: Tests, source manifests, baseline raw outputs and justified pilot/no-go artifact exist; numerical gate above is evaluated with uncertainty. vpn repeats scoring and checks unseen negative cases. Write /home/mesh-home/tiny-fleet/docs/task-receipts/A01-verification.md with commands/exit codes/output hashes/PASS-FAIL-BLOCKED; commit/push and verify remote. On failed predicate block this step and request keyed haunt correction; never settle to skip failure. PASS unlocks successor.
haunt	ticket-extraction	A02: Ticket text to evidence-backed JSON. Repo=/home/mesh-home/tiny-fleet (never hyperhauntology_for_kids). Read /home/mesh-home/tiny-fleet/docs/superpowers/plans/2026-09-08-publication-science.md section A02 AND Global execution and verification rules. Dependencies: A00 verified; C02-C08 and S01-S05 verified before any model scores; reuse common study runner/schema Files: scripts/applications/ticket_extraction.py (new); scripts/test_app_ticket_extraction.py (new); corpus/applications/ticket-extraction/; runs/applications/ticket-extraction/; docs/applications/ticket-extraction.md (new). Next: Read primary precedent [NuExtract-tiny](https://huggingface.co/numind/NuExtract-tiny), pin available model/tokenizer revisions and record license/provenance. Its existence supports feasibility; Tiny Fleet benefit remains a hypothesis. Check: rtk proxy .venv/bin/python scripts/test_app_ticket_extraction.py. Closure: Tests, source manifests, baseline raw outputs and justified pilot/no-go artifact exist; numerical gate above is evaluated with uncertainty. vpn repeats scoring and checks unseen negative cases. Artifact=/home/mesh-home/tiny-fleet/docs/task-receipts/A02-implementation.md; commit/push scoped work and verify remote; implementation done only submits to independent vpn gate.
vpn	verify-ticket-extraction	A02-V: Independently verify A02, not author self-report. Operator explicitly assigns this repository verification to vpn. Repo=/home/mesh-home/tiny-fleet. Read /home/mesh-home/tiny-fleet/docs/superpowers/plans/2026-09-08-publication-science.md section A02 and A02-V plus strict global verification rules. Input=/home/mesh-home/tiny-fleet/docs/task-receipts/A02-implementation.md and its exact source commit. In isolated checkout run rtk proxy .venv/bin/python scripts/test_app_ticket_extraction.py; any output goes into a new temporary verification directory, never completed author run. Inspect artifacts/hashes/dependencies; applicable mutation or raw-data recomputation plus independent negative case. Acceptance: Tests, source manifests, baseline raw outputs and justified pilot/no-go artifact exist; numerical gate above is evaluated with uncertainty. vpn repeats scoring and checks unseen negative cases. Write /home/mesh-home/tiny-fleet/docs/task-receipts/A02-verification.md with commands/exit codes/output hashes/PASS-FAIL-BLOCKED; commit/push and verify remote. On failed predicate block this step and request keyed haunt correction; never settle to skip failure. PASS unlocks successor.
haunt	support-routing	A06: Small-model queue routing versus linear classification. Repo=/home/mesh-home/tiny-fleet (never hyperhauntology_for_kids). Read /home/mesh-home/tiny-fleet/docs/superpowers/plans/2026-09-08-publication-science.md section A06 AND Global execution and verification rules. Dependencies: A00 verified; C02-C08 and S01-S05 verified before any model scores; reuse common study runner/schema Files: scripts/applications/support_routing.py (new); scripts/test_app_support_routing.py (new); corpus/applications/support-routing/; runs/applications/support-routing/; docs/applications/support-routing.md (new). Next: Read primary precedent [EmbeddingGemma; application hypothesis](https://deepmind.google/models/gemma/embeddinggemma/), pin available model/tokenizer revisions and record license/provenance. Its existence supports feasibility; Tiny Fleet benefit remains a hypothesis. Check: rtk proxy .venv/bin/python scripts/test_app_support_routing.py. Closure: Tests, source manifests, baseline raw outputs and justified pilot/no-go artifact exist; numerical gate above is evaluated with uncertainty. vpn repeats scoring and checks unseen negative cases. Artifact=/home/mesh-home/tiny-fleet/docs/task-receipts/A06-implementation.md; commit/push scoped work and verify remote; implementation done only submits to independent vpn gate.
vpn	verify-support-routing	A06-V: Independently verify A06, not author self-report. Operator explicitly assigns this repository verification to vpn. Repo=/home/mesh-home/tiny-fleet. Read /home/mesh-home/tiny-fleet/docs/superpowers/plans/2026-09-08-publication-science.md section A06 and A06-V plus strict global verification rules. Input=/home/mesh-home/tiny-fleet/docs/task-receipts/A06-implementation.md and its exact source commit. In isolated checkout run rtk proxy .venv/bin/python scripts/test_app_support_routing.py; any output goes into a new temporary verification directory, never completed author run. Inspect artifacts/hashes/dependencies; applicable mutation or raw-data recomputation plus independent negative case. Acceptance: Tests, source manifests, baseline raw outputs and justified pilot/no-go artifact exist; numerical gate above is evaluated with uncertainty. vpn repeats scoring and checks unseen negative cases. Write /home/mesh-home/tiny-fleet/docs/task-receipts/A06-verification.md with commands/exit codes/output hashes/PASS-FAIL-BLOCKED; commit/push and verify remote. On failed predicate block this step and request keyed haunt correction; never settle to skip failure. PASS unlocks successor.
haunt	log-normalization	A03: Normalize logs without inventing diagnoses. Repo=/home/mesh-home/tiny-fleet (never hyperhauntology_for_kids). Read /home/mesh-home/tiny-fleet/docs/superpowers/plans/2026-09-08-publication-science.md section A03 AND Global execution and verification rules. Dependencies: A00 verified; C02-C08 and S01-S05 verified before any model scores; reuse common study runner/schema Files: scripts/applications/log_normalization.py (new); scripts/test_app_log_normalization.py (new); corpus/applications/log-normalization/; runs/applications/log-normalization/; docs/applications/log-normalization.md (new). Next: Read primary precedent [NuExtract authors; transfer hypothesis](https://huggingface.co/numind/NuExtract-tiny), pin available model/tokenizer revisions and record license/provenance. Its existence supports feasibility; Tiny Fleet benefit remains a hypothesis. Check: rtk proxy .venv/bin/python scripts/test_app_log_normalization.py. Closure: Tests, source manifests, baseline raw outputs and justified pilot/no-go artifact exist; numerical gate above is evaluated with uncertainty. vpn repeats scoring and checks unseen negative cases. Artifact=/home/mesh-home/tiny-fleet/docs/task-receipts/A03-implementation.md; commit/push scoped work and verify remote; implementation done only submits to independent vpn gate.
vpn	verify-log-normalization	A03-V: Independently verify A03, not author self-report. Operator explicitly assigns this repository verification to vpn. Repo=/home/mesh-home/tiny-fleet. Read /home/mesh-home/tiny-fleet/docs/superpowers/plans/2026-09-08-publication-science.md section A03 and A03-V plus strict global verification rules. Input=/home/mesh-home/tiny-fleet/docs/task-receipts/A03-implementation.md and its exact source commit. In isolated checkout run rtk proxy .venv/bin/python scripts/test_app_log_normalization.py; any output goes into a new temporary verification directory, never completed author run. Inspect artifacts/hashes/dependencies; applicable mutation or raw-data recomputation plus independent negative case. Acceptance: Tests, source manifests, baseline raw outputs and justified pilot/no-go artifact exist; numerical gate above is evaluated with uncertainty. vpn repeats scoring and checks unseen negative cases. Write /home/mesh-home/tiny-fleet/docs/task-receipts/A03-verification.md with commands/exit codes/output hashes/PASS-FAIL-BLOCKED; commit/push and verify remote. On failed predicate block this step and request keyed haunt correction; never settle to skip failure. PASS unlocks successor.
